document_id,Cleaned_Text,sentiment
73,following cds id like sell mod gross misconduct metal giants early metal compilation including aerosmith mountain blue oyster cult judus priest etc metal church blessings disguise excellent slayer hell awaits anthrax among living whiplash power pain dream theater images words pull exodus fabulous disaster heavy death angel ultra violence hard find cds excellent condition scratches skips checking several similar articles seems going rate hence cds postage paid please email interested rarely read groups ill ship asap receiving cash check money order email snailmail address,positive
74,question comes frequently enough faq,neutral
75,convenient seems appropriate crossposted altconspiracy assuming favorable interpretation degree measurement temperature centigrade rather common us fahrenheit still laboring least misconceptions seem believe steel melts somewhere around c actually melting point iron alloys steels iron alloys neighborhood c even gun found area achieved c temperature steel parts gun would deformed would still trivial identify nature weapon fire isothermal process hot spots cold spots though cold purely relative term weapon necessarily situated hot spot seem imply even would melted anyway,neutral
76,phil didnt one early jet fighters also think phil germans work wwii naca came world war ii nasa directly descended naca space added youll notice didnt mention sweep wings even though x tested whats dryden steal one dirctly germans difference swept wings dont change angle sweep sweep wings perhaps similarity names caused confusion swept wings fs sweep wings phil lot also done military nasa aerodynamicists proposed nasa test teams demonstrated richard whitcomb rt jones langley research center giants field dryden involved flight testing winglets area ruling respectively true used military aircraft testbeds kc yf availability need military involvement yf completely kc bailed us air force course interested results supportive efforts dryden flew first digital fly wire aircraft mechnaical analog backup show confident general dynamics decided make f flybywire saw successful mind avro arrow x flybywire aircraft much earlier analog phil egad im disagreeing mary shafer nasa habit acquiring secondhand military aircraft using testbeds make things kind confusing hand secondhand navy planes give test pilots chance fold wingssomething pilots edwards air force base cant,positive
77,believe devils islanders got points say example another team record points total islanders devils records simple arithmetics involve calculus,neutral
78,dont think question os xx run windows yy apps important question subsequent os versions continue run apps subsequent windows versions future keep future os run windows apps ole complex sign things come fall believe ibm longer rights view microsoft code way maintain sort compatibility reverseengineer would want reverseengineer ole application,positive
79,subject pretty much says im looking johnny harts creator bc comic stip mailing address havent seen take look strips good friday easter sunday remarkable witness anyone help get touch id really appreciate ive contacted paper carries strip theyll get back thanks help dave arndt st peters evangelical lutheran church st peter mn,positive
80,well think whenever espn covers game wonderful job dont understand cut ot show stupid baseball news important waited scores comeon sportscenter talk baseball basketball football showed penguine highlight went back stupid basketball finally showed highlight ot goal like sec think give attention nhl playoffs talking boring basketball games guess nhls fault leaving espn hope things improve next season cobra,neutral
81,yes radar detectors less detectable radar detector detectors,neutral
82,cares typos meaningless synthetic names cars named person eg honda id respectful wrong gs sc use straight sixes es uses v giant like toyota afford v inline lineup wont last long,negative
83,aything available x similar quickeys macintosh something allow store playback sequences keystrokes menu selections mouse actions directing towards another application could someone send information availability hard think might send input x applications hopefully deal responses appropriately application going take seconds process probably wait complete sending another command thanks,neutral
84,article aprprincetonedu fuchstsarprincetonedu ira h fuchs generally corrosion signal time send recyclers youre desperate cheap try baking soda wire brush use gloves goggles please,neutral
85,well using home office bought arounde dont know data fax feature use voic mail box really liked,neutral
86,let word christ dwell richly teach admonish one another wisdom sing psalms hymns spiritual songs gratitude hearts god colossians reminder verses new international version translation faithfulness original hebrew greek may vary time time verse sounds little occasionally compare another translation original texts able,neutral
87,feel free patronize like need tips seriously insulted apologize people sucking government decide things government says plausible especially refuse consider reasonable alternatives however saw plastered tv news last night longer necessary independent thinker depart governments party line looks like independent press may actually starting earn clothes allowance good sign hope continues independent thinkers question authority situation one set facts presented coming conclusion hallmark independent thinker unless coupled ability challenge facts critically scientific method consists choosing popular hypothesis even choosing two hypotheses people proposed,positive
88,srebrenicas doctor recounts towns living hell laura pitter tuzla bosnia reuter neret mujanovic pathologist trekked mountains besieged muslim town srebrenica last august treating mangled victims bosnias bloody war considers surgeon im surgeon great experience although license practice operate person lives normally thats greatest license surgeon could evacuated un week home town tuzla muslim physician gave eyewitness medical assessment horrors yearlong serb siege srebrenica suffering thousands trapped lived hell together people srebrenica lived greatest heroes humanity produce told reporters mujanovic practiced two months assistant local hospital tuzla going srebrenica never performed surgical operation says performed major surgery times relying books guidance amputating arms legs times usually without anesthetic delivering babies performing four cesarean sections worked tohour days slept hospital first weeks arrival last aug treated patients arrived making trek mountains foot tuzla miles northwest srebrenica people carried supplies soldiers guided protected guerrilla terrain said worst memory days ago seven serb shells landed within one minute area half size football field killing people immediately wounding half dead women children people come rare day sunshine children playing soccer warning blood flowed like river street said pieces women around could piece together one woman holding two children hands lying ground dead heads mujanovic arrived supplies conditions deplorable said many deaths could prevented hospital surgical tools facilities medicine six general practitioners operating arrived even less surgical experience didnt know basic principles amputating limbs arrived situation improved said midseptember run supplies bandages washed boiled five times sometimes falling apart hands said doctors anesthetic could give patients alcohol numb pain increased bleeding people completely conscious amputations stomach operations said blood transfusions impossible facilities test blood types felt destroyed psychologically mujanovic said situation improved dec convoy arrived belgian medical group medecins sans frontieres mujanovic said military predicament worsened middecember bosnian serbs began major offensive region every day air strikes shellings hunger set middecember midmarch us planes began air dropping food people dying every day complications associated malnutrition said know sure air drop operation saved people massive death hunger starvation said according mujanovic around people died srebrenica children year siege mujanovic plans return srebrenica three weeks visiting wife ill tuzla say im hero said thousands people standing sides road crying waving left cried,positive
89,dunno newpaper article read didnt say wondering thing rather doubt,neutral
90,first ceremonial law extrascriptural term sometimes used framework view scripture look collosions without going assumption sabbath cannot ceremonial law see refer sabbath us cross therefore judged food eat drink keeping new moons holy days keeping sabbath word sabbath verse sabbaton used throughout new testament refer th day scripture get idea ceremonial law one sabbath listed among ceremonial laws one goes fundamental assumption sabbath cannot ceremonial law find way around like saying refer sabbath holy days besides th day sabbath cannot ceremonial law paul careful letters add kind parenthetcal statement anything seen liscence sin writings also sabbath absent epistles except hebrews talks rest comes faith surely would big problem first century christians living society rest th day especially slaves many new converst slaves would difficult slaves rest sabbath mandatory mention epistles,negative
91,yes ivan rodriguez last year batted threw baserunners shabby rookie aa years old last year,neutral
92,,neutral
93,pastortalk weekly dialogue local pastor news day carl gene wilkes startext mc compuserve internet compuservecom weeks thoughts last week supreme court refused without comment hear appeal rensselaer school officials desiring distribution bibles public schools rel lower court banned local gideons international bible distribution group passing bibles fifthgraders aclus barry lynn quoted saying courts action protected religious neutrality public schools also said schools must serve students faiths none schools bazaar rival religious groups compete converts according lynn several gideons men responsible putting bibles hospitals hotels members church tell similar stories allowed distribute bibles sidewalks around schools cannot go inside schools tell mild harassment parents want children receiving bible stranger willing continue work distance find schools position somewhat disheartening understand rationally logically courts position see sense fairness groups hand neutrality become nihilism plurality turn position see couple ironies one pass condoms bibles schools think one moment seeking religious neutrality schools countries like russiawho way practiced religious neutrality past seventy yearsare making bible part public school curriculum st petersburg march church worked trained public school teachers teach bible government requested hundreds recently heard medical doctor president gideon chapter moscow tell eagerly invited university moscow distribute bibles students given class time explain contents remember seeing photograph doctor holding bible speaking university students standing statue lenin thats ironic admit two things pluralistic society faiths equal footing country founded allow every group school grounds could create bazaarlike atmosphere city must work inclusive religions provide hearing know said twothe vitality religious faith dependent upon whether public arena acknowledges valid howeverand knew comingi believe disallowing distribution bible lawabiding caring adults schools signals cultures movement away singular base individuals nation make moral ethical decisions think mail box let know want print letter name good column time coverstory teen sexuality agree moral education home homes dont kinds morals want taught one family worked smoked dope primary family activity another acted like incest ok families matter often lot sicker wed like believe john hightower mc john agree home aint used homes place learn valuebased sexuality still believe church come play know families speak may come church seek information help need church buildingi believe youth families mentioned probably disregard valuefree information school,positive
94,friend ati graphic ultra display adaptors reasonably good performers irritating compatibility problems ati drivers ready change something faster compatible windows heard rumblings new orchid card fast anyone experience card currently available fast compatible xx non interlaced cost ken keirnan,positive
95,owieneramus always stick asalasdpaarf made nose every discussion nonpoints lies well still anxiously awaiting source cemal kutay ottoman empire vol ii p atrocities massacres committed long time muslim population within armenian republic confirmed accurate information observations made rawlinson british representative erzurum confirmed atrocities committed armenians united states delegation general harbord seen thousands refugees came take refuge kazim karabekirs soldiers hungry miserable children wives properties destroyed delegation witness cruelties many muslim villages destroyed soldiers armenian troops armed cannons machine guns eyes karabekirs troops people hoped operation would end unfortunately since beginning february cruelties inflicted muslim population region shuraghel akpazar zarshad childir increased according documented information muslim villages destroyed aforementioned region people slaughtered many possessions livestock seized young muslim women taken kars gumru thousands women children able flee villages beaten raped massacred mountains aggression properties lives chastity honour muslims continued responsibility armenian government cruelties massacres stopped order alleviate tensions muslim public opinion due atrocities committed armenians possessions taken muslims returned indemnities paid properties lives honour muslims protected serdar argic,neutral
96,discussing use irq put little differently irq de facto standard interrupt assigned used printer adapter announce completion activity dos doesnt monitor irq uses means determine time send another byte printer hardware printer adapters ability disable use irq usually merely breaking connection isa pin associated driver adapters control irq line tristate driver programming leave highimpedence mode unfortunately lot adapter cards use bistate drivers ie either assert high assert low irq lines rather tristate drivers assert high assert low dont assert anything presence card irq line precludes use irq adapter unless physically disconnected jumper incidentally note theres requirement card hold irq line low interrupt desired true would somehow tie unconnected irq lines certainly isnt requirement nondos operating systems os nt various unices whatever proper plural unix might require use irq performance reasons sb alas one cards uses bistate drivers,neutral
97,hi last question year mailorder noname notebook meg ram never problems huge ramdisk running desqview win ww constantly crash commonly citing memory parity error thing turn reboot cmos ticks counts memory every startup never problem either could bug windows copy instead hardware remember disk error problems installing change could make lessen frequency likelyhood happening think win vs win produce different crashes crash frequently nonetheless,positive
98,hey man spent past season learning skate played couple sessions mock hockey im ready invest hockey equipment particularly since taking summer hockey lessons however completely profoundly ignorant comes hockey equipment ive checked local stores looked catalogs hoping solicit opinionssuggestions actually plunking money played football high school college least equipment basis comparison example advantagesdisadvantages different kinds shoulder pads pantsgirdles notoriously bad unsafe brands styles etc suggestions comments would greatly appreciated,positive
99,anyone publically considered possibility fires set defence instead suicide destruction confusion caused tanks gas caused things get bds control spending programs investments taxes contributions people say need dictionary dan quayle,neutral
100,opened distribution,neutral
